timestamp,client_id,event,mtm,peak_mtm,orders,open_positions,reason
2026-06-14 02:18:06,,RULE_TRIGGER,-3600.0,0.0,8,0,Daily Loss Limit Exceeded or Max Orders Reached
2026-06-14 02:18:06,,LOCKDOWN_ACTIVATE,0,0,0,0,Daily Loss Limit Exceeded or Max Orders Reached
2026-06-14 02:18:18,,POSITION_DETECTED_DURING_LOCKDOWN,0,0,0,0,
2026-06-14 02:18:21,,POSITION_DETECTED_DURING_LOCKDOWN,0,0,0,0,
2026-06-14 02:20:40,,PROFIT_PROTECTION_TRIGGERED,4400.0,7500.0,0,0,Profit protection triggered
2026-06-14 02:20:40,,RULE_TRIGGER,4400.0,0.0,6,0,Profit Protection
2026-06-14 02:20:40,,LOCKDOWN_ACTIVATE,0,0,0,0,Profit Protection
2026-06-14 02:27:14,,POSITION_DETECTED_DURING_LOCKDOWN,0,0,0,0,
2026-06-14 18:20:37,,PROFIT_PROTECTION_TRIGGERED,-2500.0,5500.0,0,0,Profit protection triggered
2026-06-14 18:20:37,,RULE_TRIGGER,-2500.0,0.0,6,0,Profit Protection
2026-06-14 18:20:37,,LOCKDOWN_ACTIVATE,0,0,0,0,Profit Protection
2026-06-14 18:20:43,,POSITION_DETECTED_DURING_LOCKDOWN,0,0,0,0,
2026-06-14 18:21:43,,POSITION_DETECTED_DURING_LOCKDOWN,0,0,0,0,
2026-06-14 18:22:33,,POSITION_DETECTED_DURING_LOCKDOWN,0,0,0,0,
2026-06-14 18:23:37,,POSITION_DETECTED_DURING_LOCKDOWN,0,0,0,0,
2026-06-14 18:25:29,,POSITION_DETECTED_DURING_LOCKDOWN,0,0,0,0,
2026-06-14 18:25:37,,POSITION_DETECTED_DURING_LOCKDOWN,0,0,0,0,
2026-06-14 18:25:55,,POSITION_DETECTED_DURING_LOCKDOWN,0,0,0,0,
2026-06-14 18:26:00,,POSITION_DETECTED_DURING_LOCKDOWN,0,0,0,0,
2026-06-14 19:05:40,,RULE_TRIGGER,-2500.0,0.0,2,0,No Trading After 2:15 PM
2026-06-14 19:05:40,,LOCKDOWN_ACTIVATE,0,0,0,0,No Trading After 2:15 PM
2026-06-14 19:07:51,,PROFIT_PROTECTION_TRIGGERED,3300.0,5500.0,0,0,Profit protection triggered
2026-06-14 19:07:51,,RULE_TRIGGER,3300.0,0.0,8,0,Profit Protection
2026-06-14 19:07:51,,LOCKDOWN_ACTIVATE,0,0,0,0,Profit Protection
2026-06-14 19:07:55,,POSITION_DETECTED_DURING_LOCKDOWN,0,0,0,0,
2026-06-14 19:07:59,,POSITION_DETECTED_DURING_LOCKDOWN,0,0,0,0,
